               JVM;                 Test Type;  Run Identifier;  Energy package (Watt second);  Energy RAM (Watt second);  Elapsed (seconds)
 eclipse-openj9-vm;    guarded_unparametrized;               1;                       191.390;                    55.770;             92.685
 eclipse-openj9-vm;    guarded_unparametrized;               5;                       182.550;                    53.100;             88.760
 eclipse-openj9-vm;    guarded_unparametrized;               4;                       193.290;                    56.170;             91.969
 eclipse-openj9-vm;    guarded_unparametrized;               2;                       190.280;                    57.860;             94.945
 eclipse-openj9-vm;    guarded_unparametrized;               3;                       182.910;                    55.900;             91.878
 eclipse-openj9-vm;               lambda_heap;               5;                       190.620;                    55.460;             91.936
 eclipse-openj9-vm;               lambda_heap;               2;                       182.870;                    56.660;             93.720
 eclipse-openj9-vm;               lambda_heap;               4;                       181.000;                    52.410;             87.508
 eclipse-openj9-vm;               lambda_heap;               1;                       191.240;                    55.430;             91.059
 eclipse-openj9-vm;               lambda_heap;               3;                       182.660;                    56.460;             92.887
 eclipse-openj9-vm;              lambda_local;               5;                       186.680;                    55.240;             90.407
 eclipse-openj9-vm;              lambda_local;               2;                       182.720;                    56.160;             92.386
 eclipse-openj9-vm;              lambda_local;               4;                       189.650;                    55.080;             91.183
 eclipse-openj9-vm;              lambda_local;               1;                       187.130;                    54.000;             89.341
 eclipse-openj9-vm;              lambda_local;               3;                       172.780;                    53.940;             88.780
 eclipse-openj9-vm;             string_format;               2;                       193.260;                    59.900;             98.212
 eclipse-openj9-vm;             string_format;               5;                       190.060;                    56.080;             92.236
 eclipse-openj9-vm;             string_format;               4;                       194.480;                    57.270;             94.691
 eclipse-openj9-vm;             string_format;               1;                       191.490;                    55.620;             92.163
 eclipse-openj9-vm;             string_format;               3;                       176.490;                    54.200;             90.764
 eclipse-openj9-vm;    unguarded_parametrized;               3;                       206.050;                    64.520;            107.425
 eclipse-openj9-vm;    unguarded_parametrized;               1;                       226.440;                    67.200;            111.145
 eclipse-openj9-vm;    unguarded_parametrized;               5;                       218.110;                    64.300;            107.561
 eclipse-openj9-vm;    unguarded_parametrized;               2;                       214.660;                    66.130;            110.255
 eclipse-openj9-vm;    unguarded_parametrized;               4;                       217.200;                    62.810;            105.573
 eclipse-openj9-vm;  unguarded_unparametrized;               5;                       188.770;                    55.670;             91.153
 eclipse-openj9-vm;  unguarded_unparametrized;               4;                       280.830;                    69.840;            106.463
 eclipse-openj9-vm;  unguarded_unparametrized;               3;                       177.560;                    54.550;             89.652
 eclipse-openj9-vm;  unguarded_unparametrized;               2;                       168.030;                    51.620;             86.933
 eclipse-openj9-vm;  unguarded_unparametrized;               1;                       187.040;                    54.470;             90.180
        graalvm-ce;      guarded_parametrized;               5;                       190.040;                    61.320;             98.365
        graalvm-ce;      guarded_parametrized;               2;                       174.280;                    57.280;             91.890
        graalvm-ce;      guarded_parametrized;               3;                       183.740;                    60.900;             97.428
        graalvm-ce;      guarded_parametrized;               4;                       190.080;                    60.490;             96.905
        graalvm-ce;      guarded_parametrized;               1;                       182.270;                    59.650;             95.575
        graalvm-ce;    guarded_unparametrized;               1;                       144.260;                    47.080;             76.856
        graalvm-ce;    guarded_unparametrized;               4;                       146.910;                    46.780;             76.102
        graalvm-ce;    guarded_unparametrized;               5;                       115.950;                    37.320;             60.423
        graalvm-ce;    guarded_unparametrized;               2;                       155.840;                    49.660;             80.996
        graalvm-ce;    guarded_unparametrized;               3;                       145.930;                    47.200;             76.907
        graalvm-ce;               lambda_heap;               2;                       142.310;                    46.840;             76.257
        graalvm-ce;               lambda_heap;               4;                       158.690;                    49.550;             80.714
        graalvm-ce;               lambda_heap;               3;                       109.660;                    37.210;             60.443
        graalvm-ce;               lambda_heap;               1;                       110.300;                    36.650;             59.380
        graalvm-ce;               lambda_heap;               5;                       117.080;                    37.560;             61.022
        graalvm-ce;              lambda_local;               2;                       113.470;                    37.820;             61.487
        graalvm-ce;              lambda_local;               1;                       114.120;                    37.900;             61.547
        graalvm-ce;              lambda_local;               5;                       157.710;                    49.200;             80.000
        graalvm-ce;              lambda_local;               3;                       143.330;                    46.630;             75.929
        graalvm-ce;              lambda_local;               4;                       158.100;                    49.790;             81.043
        graalvm-ce;             string_format;               2;                       118.640;                    40.130;             64.838
        graalvm-ce;             string_format;               4;                       164.570;                    51.580;             83.956
        graalvm-ce;             string_format;               1;                       117.230;                    38.940;             62.759
        graalvm-ce;             string_format;               3;                       158.130;                    51.020;             82.836
        graalvm-ce;             string_format;               5;                       155.630;                    48.570;             78.773
        graalvm-ce;    unguarded_parametrized;               3;                       159.840;                    53.980;             86.247
        graalvm-ce;    unguarded_parametrized;               2;                       187.330;                    59.990;             96.020
        graalvm-ce;    unguarded_parametrized;               1;                       142.500;                    48.550;             77.087
        graalvm-ce;    unguarded_parametrized;               4;                       189.980;                    61.390;             98.165
        graalvm-ce;    unguarded_parametrized;               5;                       192.580;                    61.710;             98.901
        graalvm-ce;  unguarded_unparametrized;               4;                       114.570;                    37.340;             60.522
        graalvm-ce;  unguarded_unparametrized;               5;                       156.650;                    48.850;             79.503
        graalvm-ce;  unguarded_unparametrized;               1;                       120.440;                    39.950;             64.845
        graalvm-ce;  unguarded_unparametrized;               2;                       123.140;                    40.590;             65.895
        graalvm-ce;  unguarded_unparametrized;               3;                       112.570;                    37.610;             61.007
        graalvm-ee;      guarded_parametrized;               3;                       133.510;                    43.950;             68.693
        graalvm-ee;      guarded_parametrized;               1;                       134.510;                    44.070;             68.916
        graalvm-ee;      guarded_parametrized;               4;                       129.090;                    43.210;             67.423
        graalvm-ee;      guarded_parametrized;               2;                       133.640;                    43.230;             67.430
        graalvm-ee;      guarded_parametrized;               5;                       135.850;                    43.500;             67.736
        graalvm-ee;    guarded_unparametrized;               5;                       113.320;                    35.830;             56.989
        graalvm-ee;    guarded_unparametrized;               1;                       110.480;                    35.170;             55.992
        graalvm-ee;    guarded_unparametrized;               3;                       107.140;                    35.110;             55.977
        graalvm-ee;    guarded_unparametrized;               4;                       106.480;                    35.120;             56.173
        graalvm-ee;    guarded_unparametrized;               2;                       108.640;                    34.570;             55.104
        graalvm-ee;               lambda_heap;               4;                       107.380;                    35.870;             57.667
        graalvm-ee;               lambda_heap;               5;                       112.420;                    35.710;             57.276
        graalvm-ee;               lambda_heap;               3;                       107.390;                    34.920;             55.957
        graalvm-ee;               lambda_heap;               2;                       108.320;                    34.320;             54.927
        graalvm-ee;               lambda_heap;               1;                       105.850;                    35.020;             56.193
        graalvm-ee;              lambda_local;               3;                       109.650;                    36.020;             57.662
        graalvm-ee;              lambda_local;               5;                       112.530;                    35.750;             57.071
        graalvm-ee;              lambda_local;               1;                       111.270;                    35.950;             57.561
        graalvm-ee;              lambda_local;               4;                       104.710;                    35.490;             56.890
        graalvm-ee;              lambda_local;               2;                       111.420;                    35.080;             56.115
        graalvm-ee;             string_format;               1;                       119.410;                    38.920;             61.258
        graalvm-ee;             string_format;               3;                       111.260;                    36.820;             58.167
        graalvm-ee;             string_format;               4;                       111.750;                    37.190;             58.742
        graalvm-ee;             string_format;               2;                       117.830;                    38.150;             60.423
        graalvm-ee;             string_format;               5;                       116.770;                    37.530;             59.165
        graalvm-ee;    unguarded_parametrized;               5;                       136.020;                    43.810;             68.369
        graalvm-ee;    unguarded_parametrized;               2;                       135.070;                    43.760;             68.421
        graalvm-ee;    unguarded_parametrized;               4;                       134.400;                    44.820;             69.821
        graalvm-ee;    unguarded_parametrized;               1;                       136.590;                    44.120;             68.809
        graalvm-ee;    unguarded_parametrized;               3;                       131.540;                    43.130;             67.278
        graalvm-ee;  unguarded_unparametrized;               1;                       110.380;                    35.000;             55.823
        graalvm-ee;  unguarded_unparametrized;               2;                       112.000;                    35.410;             56.405
        graalvm-ee;  unguarded_unparametrized;               3;                       107.500;                    35.190;             56.116
        graalvm-ee;  unguarded_unparametrized;               5;                       111.030;                    35.110;             55.970
        graalvm-ee;  unguarded_unparametrized;               4;                       109.240;                    35.550;             56.724
      native-image;      guarded_parametrized;               2;                       119.280;                    46.530;             77.525
      native-image;      guarded_parametrized;               1;                       118.180;                    46.630;             77.617
      native-image;      guarded_parametrized;               4;                       139.050;                    46.650;             77.352
      native-image;      guarded_parametrized;               3;                       119.830;                    46.500;             77.390
      native-image;      guarded_parametrized;               5;                       137.020;                    46.600;             77.563
      native-image;    guarded_unparametrized;               4;                        94.100;                    31.860;             53.175
      native-image;    guarded_unparametrized;               5;                        92.890;                    31.490;             52.994
      native-image;    guarded_unparametrized;               1;                        80.370;                    31.690;             53.053
      native-image;    guarded_unparametrized;               3;                        82.600;                    31.790;             53.243
      native-image;    guarded_unparametrized;               2;                        81.570;                    31.860;             53.420
      native-image;               lambda_heap;               2;                        81.120;                    31.710;             53.073
      native-image;               lambda_heap;               4;                        92.470;                    31.880;             53.315
      native-image;               lambda_heap;               1;                        79.430;                    31.330;             52.453
      native-image;               lambda_heap;               3;                        80.470;                    31.520;             52.839
      native-image;               lambda_heap;               5;                        91.930;                    31.700;             53.420
      native-image;              lambda_local;               5;                        93.330;                    31.570;             53.241
      native-image;              lambda_local;               1;                        79.750;                    31.620;             52.970
      native-image;              lambda_local;               4;                        92.730;                    31.700;             53.018
      native-image;              lambda_local;               2;                        80.610;                    31.650;             52.954
      native-image;              lambda_local;               3;                        82.880;                    31.670;             52.955
      native-image;             string_format;               2;                        83.040;                    32.480;             54.247
      native-image;             string_format;               5;                        95.200;                    32.510;             54.655
      native-image;             string_format;               4;                        94.600;                    32.680;             54.405
      native-image;             string_format;               3;                        82.580;                    32.840;             54.853
      native-image;             string_format;               1;                        81.640;                    32.540;             54.374
      native-image;    unguarded_parametrized;               3;                       120.670;                    46.650;             77.627
      native-image;    unguarded_parametrized;               4;                       138.060;                    46.120;             76.535
      native-image;    unguarded_parametrized;               5;                       134.240;                    45.630;             76.167
      native-image;    unguarded_parametrized;               2;                       117.620;                    46.260;             76.972
      native-image;    unguarded_parametrized;               1;                       117.850;                    46.500;             77.343
      native-image;  unguarded_unparametrized;               4;                        96.330;                    32.110;             53.674
      native-image;  unguarded_unparametrized;               1;                        81.390;                    31.470;             52.588
      native-image;  unguarded_unparametrized;               3;                        81.710;                    31.560;             52.808
      native-image;  unguarded_unparametrized;               5;                        91.590;                    31.760;             53.442
      native-image;  unguarded_unparametrized;               2;                        80.260;                    31.660;             52.924
openjdk-hotspot-vm;      guarded_parametrized;               1;                       133.680;                    51.440;             81.220
openjdk-hotspot-vm;      guarded_parametrized;               5;                       155.470;                    51.470;             81.200
openjdk-hotspot-vm;      guarded_parametrized;               3;                       143.850;                    51.900;             82.234
openjdk-hotspot-vm;      guarded_parametrized;               4;                       149.960;                    50.750;             79.758
openjdk-hotspot-vm;      guarded_parametrized;               2;                       146.940;                    52.440;             82.729
openjdk-hotspot-vm;    guarded_unparametrized;               4;                       117.340;                    39.340;             63.261
openjdk-hotspot-vm;    guarded_unparametrized;               1;                       105.800;                    39.560;             63.311
openjdk-hotspot-vm;    guarded_unparametrized;               2;                       113.440;                    39.640;             63.901
openjdk-hotspot-vm;    guarded_unparametrized;               5;                       118.360;                    39.070;             63.191
openjdk-hotspot-vm;    guarded_unparametrized;               3;                       111.610;                    39.480;             63.645
openjdk-hotspot-vm;               lambda_heap;               2;                       107.520;                    38.360;             61.989
openjdk-hotspot-vm;               lambda_heap;               1;                       107.020;                    40.090;             64.408
openjdk-hotspot-vm;               lambda_heap;               3;                       114.700;                    40.160;             64.315
openjdk-hotspot-vm;               lambda_heap;               5;                       123.680;                    39.960;             64.592
openjdk-hotspot-vm;               lambda_heap;               4;                       118.910;                    39.430;             63.160
openjdk-hotspot-vm;              lambda_local;               2;                       111.860;                    39.190;             63.130
openjdk-hotspot-vm;              lambda_local;               4;                       119.990;                    39.570;             63.904
openjdk-hotspot-vm;              lambda_local;               1;                       100.520;                    37.810;             60.543
openjdk-hotspot-vm;              lambda_local;               5;                       118.980;                    38.230;             61.593
openjdk-hotspot-vm;              lambda_local;               3;                       109.010;                    38.920;             62.591
openjdk-hotspot-vm;             string_format;               1;                       110.110;                    41.310;             66.238
openjdk-hotspot-vm;             string_format;               2;                       115.860;                    40.930;             65.718
openjdk-hotspot-vm;             string_format;               3;                       121.290;                    42.700;             67.986
openjdk-hotspot-vm;             string_format;               4;                       124.990;                    41.700;             66.474
openjdk-hotspot-vm;             string_format;               5;                       126.430;                    41.610;             66.569
openjdk-hotspot-vm;    unguarded_parametrized;               5;                       154.450;                    51.360;             80.975
openjdk-hotspot-vm;    unguarded_parametrized;               4;                       152.780;                    51.010;             80.226
openjdk-hotspot-vm;    unguarded_parametrized;               3;                       145.340;                    51.980;             82.178
openjdk-hotspot-vm;    unguarded_parametrized;               2;                       142.920;                    51.590;             81.603
openjdk-hotspot-vm;    unguarded_parametrized;               1;                       134.720;                    51.430;             81.079
openjdk-hotspot-vm;  unguarded_unparametrized;               3;                       111.700;                    39.470;             63.266
openjdk-hotspot-vm;  unguarded_unparametrized;               1;                       103.730;                    39.240;             63.106
openjdk-hotspot-vm;  unguarded_unparametrized;               5;                       118.520;                    39.050;             62.971
openjdk-hotspot-vm;  unguarded_unparametrized;               4;                       119.460;                    39.360;             63.142
openjdk-hotspot-vm;  unguarded_unparametrized;               2;                       113.130;                    39.960;             63.823
