          Category;  Run Identifier;  Power (Watt)
 eclipse-openj9-vm;         default;        42.810
 eclipse-openj9-vm;         default;        37.830
 eclipse-openj9-vm;         default;        39.900
 eclipse-openj9-vm;         default;        40.610
 eclipse-openj9-vm;         default;        39.610
 eclipse-openj9-vm;         default;        40.320
 eclipse-openj9-vm;         default;        51.780
 eclipse-openj9-vm;         default;        52.760
 eclipse-openj9-vm;         default;        54.220
 eclipse-openj9-vm;         default;        43.380
      native-image;        pgo_g1gc;         7.890
      native-image;        pgo_g1gc;         8.730
      native-image;        pgo_g1gc;         7.160
      native-image;        pgo_g1gc;        35.050
      native-image;        pgo_g1gc;        38.530
      native-image;        pgo_g1gc;        41.790
      native-image;        pgo_g1gc;        42.600
      native-image;        pgo_g1gc;        42.150
      native-image;        pgo_g1gc;        43.280
      native-image;        pgo_g1gc;        42.100
      native-image;        pgo_g1gc;        44.890
      native-image;        pgo_g1gc;        34.480
      native-image;        pgo_g1gc;        35.070
      native-image;        pgo_g1gc;        48.690
      native-image;        pgo_g1gc;        57.120
      native-image;        pgo_g1gc;        54.100
      native-image;        pgo_g1gc;        55.360
      native-image;        pgo_g1gc;        46.490
      native-image;        pgo_g1gc;        35.260
      native-image;        pgo_g1gc;        36.150
      native-image;        pgo_g1gc;        42.280
      native-image;        pgo_g1gc;        35.810
      native-image;        pgo_g1gc;        37.320
      native-image;        pgo_g1gc;        50.700
      native-image;        pgo_g1gc;        61.240
      native-image;        pgo_g1gc;        65.530
      native-image;        pgo_g1gc;        65.560
      native-image;        pgo_g1gc;        66.880
      native-image;        pgo_g1gc;        65.330
      native-image;        pgo_g1gc;        61.030
      native-image;        pgo_g1gc;        39.880
      native-image;        pgo_g1gc;        68.010
      native-image;        pgo_g1gc;        65.030
      native-image;        pgo_g1gc;        66.410
      native-image;        pgo_g1gc;        68.370
      native-image;        pgo_g1gc;        65.760
      native-image;        pgo_g1gc;        57.560
      native-image;        pgo_g1gc;        62.010
      native-image;        pgo_g1gc;        56.810
      native-image;        pgo_g1gc;        67.200
      native-image;        pgo_g1gc;        63.250
      native-image;        pgo_g1gc;        63.870
      native-image;        pgo_g1gc;        60.500
      native-image;        pgo_g1gc;        64.100
      native-image;        pgo_g1gc;        64.680
      native-image;        pgo_g1gc;        61.010
      native-image;        pgo_g1gc;        58.140
      native-image;        pgo_g1gc;        62.020
      native-image;        pgo_g1gc;        57.690
      native-image;        pgo_g1gc;        61.420
      native-image;        pgo_g1gc;        61.950
      native-image;        pgo_g1gc;        60.520
      native-image;        pgo_g1gc;        59.550
      native-image;        pgo_g1gc;        60.380
      native-image;        pgo_g1gc;        60.510
      native-image;        pgo_g1gc;        58.090
      native-image;        pgo_g1gc;        55.890
