          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
openjdk-hotspot-vm;               random_page;         default;                  5;       107.860;  Power (Watt)
 eclipse-openj9-vm;                    linear;         default;                  1;        14.340;  Power (Watt)
 eclipse-openj9-vm;                    linear;         default;                  2;        13.600;  Power (Watt)
 eclipse-openj9-vm;                    linear;         default;                  3;        16.200;  Power (Watt)
 eclipse-openj9-vm;                    linear;         default;                  4;        58.950;  Power (Watt)
 eclipse-openj9-vm;                    linear;         default;                  5;        66.820;  Power (Watt)
 eclipse-openj9-vm;                    linear;         default;                  6;        70.410;  Power (Watt)
      native-image;                    linear;             pgo;                  1;         6.960;  Power (Watt)
      native-image;                    linear;             pgo;                  2;         4.910;  Power (Watt)
      native-image;                    linear;             pgo;                  3;         7.890;  Power (Watt)
      native-image;                    linear;             pgo;                  4;        65.830;  Power (Watt)
      native-image;                    linear;             pgo;                  5;        73.690;  Power (Watt)
      native-image;                    linear;             pgo;                  6;        76.220;  Power (Watt)
      native-image;                    linear;             pgo;                  7;        72.470;  Power (Watt)
      native-image;                    linear;             pgo;                  8;        90.410;  Power (Watt)
      native-image;                    linear;             pgo;                  9;        76.450;  Power (Watt)
      native-image;                    linear;             pgo;                 10;        99.290;  Power (Watt)
      native-image;                    linear;             pgo;                 11;       118.550;  Power (Watt)
      native-image;                    linear;             pgo;                 12;       109.410;  Power (Watt)
      native-image;                    linear;             pgo;                 13;       102.840;  Power (Watt)
      native-image;                    linear;             pgo;                 14;       102.720;  Power (Watt)
      native-image;                    linear;             pgo;                 15;        99.310;  Power (Watt)
      native-image;                    linear;             pgo;                 16;       105.020;  Power (Watt)
      native-image;                    linear;             pgo;                 17;       104.460;  Power (Watt)
      native-image;                    linear;             pgo;                 18;       101.950;  Power (Watt)
      native-image;                    linear;             pgo;                 19;       102.020;  Power (Watt)
      native-image;                    linear;             pgo;                 20;        98.640;  Power (Watt)
      native-image;                    linear;             pgo;                 21;       107.880;  Power (Watt)
      native-image;                    linear;             pgo;                 22;       101.050;  Power (Watt)
      native-image;                    linear;             pgo;                 23;       102.080;  Power (Watt)
      native-image;                    linear;             pgo;                 24;       101.830;  Power (Watt)
      native-image;                    linear;             pgo;                 25;       101.880;  Power (Watt)
      native-image;                    linear;             pgo;                 26;       101.920;  Power (Watt)
      native-image;                    linear;             pgo;                 27;       101.940;  Power (Watt)
      native-image;                    linear;             pgo;                 28;        96.630;  Power (Watt)
      native-image;                    linear;             pgo;                 29;        82.930;  Power (Watt)
      native-image;                    linear;             pgo;                 30;        69.770;  Power (Watt)
      native-image;                    linear;             pgo;                 31;        79.770;  Power (Watt)
