Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk   SEN2   SEN3 TCPU_P iwlwif acpitz INT340
13:02:24   4.2   0.0   0.0  95.7   0.0    2    629    689    0    0    0  50.18    0.00  15.08  10.21  24.90  67.05  67.00  40.05  39.05  67.00  33.00  67.00  20.00
13:02:25   4.2   0.0   0.0  95.8   0.0    2    506    674    0    0    0  49.09    0.00  14.88  10.21  24.00  66.05  65.00  40.05  39.05  65.00  33.00  67.00  20.00
13:02:26   4.2   0.0   0.1  95.7   0.0    2    824    862    1    0    1  51.49    0.00  15.22  10.48  25.80  67.05  67.00  39.05  39.05  67.00  33.00  67.00  20.00
13:02:27   4.2   0.0   0.0  95.8   0.0    2    544    706    0    0    0  50.97    0.00  14.93  10.20  25.84  68.05  68.00  39.05  39.05  68.00  33.00  67.00  20.00
13:02:28   4.2   0.0   0.0  95.8   0.0    2    614    727    0    0    0  51.12    0.00  14.96  10.22  25.94  67.05  67.00  39.05  39.05  67.00  33.00  67.00  20.00
13:02:29   4.2   0.0   0.0  95.8   0.0    2    530    689    0    0    0  50.40    0.00  14.94  10.23  25.24  67.05  67.00  39.05  40.05  67.00  33.00  68.00  20.00
13:02:30   4.2   0.0   0.0  95.8   0.0    2    628    739    0    0    0  49.41    0.00  14.93  10.24  24.24  67.05  67.00  39.05  40.05  67.00  33.00  68.00  20.00
13:02:31   4.2   0.0   0.0  95.8   0.0    2    586    684    0    0    0  50.17    0.00  15.08  10.21  24.88  65.05  65.00  40.05  40.05  67.00  33.00  68.00  20.00
13:02:32   4.2   0.0   0.0  95.8   0.0    2    596    704    0    0    0  49.20    0.00  14.91  10.23  24.06  65.05  65.00  40.05  40.05  66.00  33.00  67.00  20.00
13:02:33   4.2   0.0   0.0  95.8   0.0    2    526    699    0    0    0  50.86    0.00  15.16  10.23  25.47  67.05  67.00  40.05  40.05  67.00  33.00  68.00  20.00
13:02:34   4.2   0.0   0.0  95.8   0.0    2    618    715    0    0    0  50.85    0.00  15.04  10.24  25.57  66.05  66.00  40.05  40.05  67.00  33.00  68.00  20.00
13:02:35   4.2   0.0   0.0  95.8   0.0    2    548    693    0    0    0  49.21    0.00  14.92  10.23  24.06  66.05  66.00  40.05  40.05  67.00  33.00  67.00  20.00
13:02:36   4.2   0.0   0.0  95.8   0.0    2    618    725    0    0    0  49.23    0.00  14.93  10.24  24.07  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:02:37   4.2   0.0   0.0  95.8   0.0    2    506    684    0    0    0  49.22    0.00  14.93  10.25  24.04  66.05  65.00  40.05  40.05  65.00  33.00  67.00  20.00
13:02:38   4.2   0.0   0.0  95.8   0.0    2    638    757    0    0    0  49.33    0.00  14.96  10.27  24.11  65.05  65.00  40.05  40.05  65.00  33.00  67.00  20.00
13:02:39   4.2   0.0   0.0  95.7   0.0    2    569    680    0    0    0  50.33    0.00  15.15  10.27  24.90  67.05  67.00  40.05  39.05  67.00  33.00  68.00  20.00
13:02:40   4.2   0.0   0.0  95.8   0.0    2    622    727    0    0    0  49.31    0.00  14.93  10.26  24.12  67.05  67.00  40.05  39.05  67.00  33.00  68.00  20.00
