          Category;                      Type;  Run Identifier;      Total Energy (Watt⋅sec);  Elapsed (sec)
        graalvm-ce;                merge_sort;         default;                    45832.469;       1210.000
        graalvm-ce;                radix_sort;         default;                    47131.302;       1209.000
     azul-prime-vm;                quick_sort;         default;                    44588.055;       1204.000
    oracle-graalvm;                radix_sort;         default;                    47519.619;       1214.000
 eclipse-openj9-vm;                merge_sort;         default;                    44329.021;       1229.000
     azul-prime-vm;           string_template;         default;                    67798.477;       1203.000
openjdk-hotspot-vm;             plus_operator;         default;                    49799.617;       1203.000
        graalvm-ce;             plus_operator;         default;                    52505.727;       1203.000
 eclipse-openj9-vm;           string_template;         default;                    40361.997;       1203.000
openjdk-hotspot-vm;           string_template;         default;                    56574.417;       1203.000
 eclipse-openj9-vm;             plus_operator;         default;                    40563.217;       1203.000
 eclipse-openj9-vm;            string_builder;         default;                    40525.157;       1203.000
    oracle-graalvm;             plus_operator;         default;                    52671.847;       1203.000
      native-image;             plus_operator;         default;                    61300.407;       1203.000
    oracle-graalvm;           string_template;         default;                    52651.317;       1203.000
        graalvm-ce;            string_builder;         default;                    56549.017;       1203.000
     azul-prime-vm;            string_builder;         default;                    60632.227;       1203.000
openjdk-hotspot-vm;            string_builder;         default;                    56083.907;       1203.000
    oracle-graalvm;            string_builder;         default;                    57031.197;       1203.000
      native-image;             plus_operator;             pgo;                    59360.637;       1203.000
      native-image;           string_template;         default;                    42365.897;       1203.000
      native-image;            string_builder;         default;                    61119.877;       1203.000
     azul-prime-vm;             plus_operator;         default;                    46877.797;       1203.000
        graalvm-ce;           string_template;         default;                    51082.207;       1203.000
      native-image;           string_template;             pgo;                    48188.427;       1203.000
      native-image;            string_builder;             pgo;                    54666.107;       1203.000
     azul-prime-vm;                       new;         default;                    42795.297;       1203.000
 eclipse-openj9-vm;                     const;         default;                    42869.417;       1203.000
     azul-prime-vm;             override_fist;         default;                    41339.217;       1203.000
openjdk-hotspot-vm;                    lambda;         default;                    60783.677;       1203.000
openjdk-hotspot-vm;                     const;         default;                    63610.817;       1203.000
    oracle-graalvm;                     const;         default;                    42614.237;       1203.000
      native-image;                     const;         default;                    41396.017;       1203.000
      native-image;                    lambda;         default;                    42618.147;       1203.000
     azul-prime-vm;                     const;         default;                    63736.297;       1203.000
        graalvm-ce;             override_fist;         default;                    60347.937;       1203.000
 eclipse-openj9-vm;                       new;         default;                    42707.937;       1203.000
     azul-prime-vm;                    lambda;         default;                    42484.417;       1203.000
 eclipse-openj9-vm;             override_fist;         default;                    42271.247;       1203.000
openjdk-hotspot-vm;             override_fist;         default;                    62768.807;       1203.000
    oracle-graalvm;                       new;         default;                    53363.217;       1203.000
    oracle-graalvm;             override_fist;         default;                    42344.997;       1203.000
      native-image;             override_fist;             pgo;                    45369.997;       1203.000
openjdk-hotspot-vm;                       new;         default;                    60368.837;       1203.000
        graalvm-ce;                    lambda;         default;                    61107.107;       1203.000
      native-image;                       new;         default;                    42561.927;       1203.000
      native-image;                     const;             pgo;                    49342.517;       1203.000
      native-image;                       new;             pgo;                    56380.227;       1203.000
        graalvm-ce;                       new;         default;                    61349.747;       1203.000
    oracle-graalvm;                    lambda;         default;                    51181.647;       1203.000
 eclipse-openj9-vm;                    lambda;         default;                    42891.077;       1203.000
        graalvm-ce;                     const;         default;                    60453.157;       1203.000
      native-image;                    lambda;             pgo;                    63300.317;       1203.000
      native-image;             override_fist;         default;                    54893.427;       1203.000
      native-image;             megamorphic_8;             pgo;                    67897.217;       1203.000
        graalvm-ce;               monomorphic;         default;                    60685.327;       1203.000
      native-image;                 bimorphic;             pgo;                    61558.327;       1203.000
     azul-prime-vm;                 bimorphic;         default;                    43983.957;       1203.000
      native-image;             megamorphic_8;         default;                    44917.847;       1203.000
openjdk-hotspot-vm;               monomorphic;         default;                    61372.947;       1203.000
 eclipse-openj9-vm;             megamorphic_3;         default;                    42895.097;       1203.000
     azul-prime-vm;             megamorphic_3;         default;                    44949.677;       1203.000
 eclipse-openj9-vm;               monomorphic;         default;                    43572.927;       1203.000
      native-image;               monomorphic;             pgo;                    61113.217;       1203.000
    oracle-graalvm;               monomorphic;         default;                    60136.767;       1203.000
 eclipse-openj9-vm;                 bimorphic;         default;                    65780.927;       1203.000
     azul-prime-vm;               monomorphic;         default;                    43303.827;       1203.000
 eclipse-openj9-vm;             megamorphic_8;         default;                    46853.687;       1203.000
      native-image;             megamorphic_3;             pgo;                    64338.497;       1203.000
    oracle-graalvm;             megamorphic_8;         default;                    68581.407;       1203.000
     azul-prime-vm;             megamorphic_8;         default;                    44790.487;       1203.000
      native-image;               monomorphic;         default;                    45410.117;       1203.000
    oracle-graalvm;             megamorphic_3;         default;                    61017.187;       1203.000
    oracle-graalvm;                 bimorphic;         default;                    61088.357;       1203.000
        graalvm-ce;             megamorphic_3;         default;                    58647.917;       1203.000
        graalvm-ce;                 bimorphic;         default;                    59434.127;       1203.000
openjdk-hotspot-vm;             megamorphic_3;         default;                    62130.107;       1203.000
openjdk-hotspot-vm;             megamorphic_8;         default;                    65166.687;       1203.000
        graalvm-ce;             megamorphic_8;         default;                    42097.787;       1203.000
      native-image;             megamorphic_3;         default;                    42772.097;       1203.000
openjdk-hotspot-vm;                 bimorphic;         default;                    60377.507;       1203.000
      native-image;                 bimorphic;         default;                    45270.567;       1203.000
openjdk-hotspot-vm;                   virtual;         default;                   115304.102;       1205.000
    oracle-graalvm;                   virtual;         default;                   113225.350;       1206.000
    oracle-graalvm;                  platform;         default;                   114639.027;       1203.000
        graalvm-ce;                  platform;         default;                   114119.115;       1204.000
      native-image;                   virtual;             pgo;                   124283.085;       1204.000
     azul-prime-vm;                  platform;         default;                   121956.882;       1205.000
      native-image;                  platform;             pgo;                   117548.242;       1205.000
      native-image;                   virtual;         default;                    83981.200;       1206.000
 eclipse-openj9-vm;                   virtual;         default;                        0.000;          0.000
        graalvm-ce;                   virtual;         default;                   114394.862;       1205.000
openjdk-hotspot-vm;                  platform;         default;                   118076.375;       1204.000
      native-image;                  platform;         default;                   113167.202;       1205.000
 eclipse-openj9-vm;                  platform;         default;                   119199.037;       1203.000
     azul-prime-vm;                   virtual;         default;                        0.000;          0.000
