          Category;                      Type;  Run Identifier;      Total Energy (Watt⋅sec);  Elapsed (sec)
      native-image;                    lambda;         default;                   120591.725;         37.000
     azul-prime-vm;                    lambda;         default;                     5805.784;          9.000
openjdk-hotspot-vm;             override_fist;         default;                     1022.486;          5.000
      native-image;                    lambda;        pgo_g1gc;                    80751.623;         31.000
openjdk-hotspot-vm;                       new;         default;                     1020.786;          5.000
openjdk-hotspot-vm;                    lambda;         default;                     1018.636;          5.000
openjdk-hotspot-vm;               monomorphic;         default;                      940.336;          5.000
     azul-prime-vm;             megamorphic_3;         default;                     4578.077;          8.000
    oracle-graalvm;               monomorphic;         default;                     1114.636;          5.000
 eclipse-openj9-vm;             megamorphic_3;         default;                     1391.008;          6.000
      native-image;             megamorphic_8;         default;                   112195.331;         35.000
        graalvm-ce;                 bimorphic;         default;                      979.386;          5.000
openjdk-hotspot-vm;             megamorphic_8;         default;                     1167.586;          5.000
 eclipse-openj9-vm;                 bimorphic;         default;                     1309.768;          6.000
        graalvm-ce;             megamorphic_3;         default;                     1057.686;          5.000
 eclipse-openj9-vm;               monomorphic;         default;                     1358.188;          6.000
    oracle-graalvm;             megamorphic_3;         default;                     1057.836;          5.000
        graalvm-ce;             megamorphic_8;         default;                     1076.336;          5.000
openjdk-hotspot-vm;             megamorphic_3;         default;                      966.836;          5.000
      native-image;               monomorphic;        pgo_g1gc;                    78119.809;         30.000
    oracle-graalvm;             megamorphic_8;         default;                     1064.936;          5.000
      native-image;             megamorphic_8;        pgo_g1gc;                    76595.809;         30.000
     azul-prime-vm;                 bimorphic;         default;                     4364.557;          8.000
      native-image;                 bimorphic;         default;                   115026.780;         36.000
        graalvm-ce;               monomorphic;         default;                     1060.786;          5.000
    oracle-graalvm;                 bimorphic;         default;                     1115.236;          5.000
 eclipse-openj9-vm;             megamorphic_8;         default;                     1340.308;          6.000
      native-image;             megamorphic_3;         default;                   127089.224;         38.000
      native-image;                 bimorphic;        pgo_g1gc;                    79423.609;         30.000
      native-image;               monomorphic;         default;                   122812.465;         37.000
     azul-prime-vm;             megamorphic_8;         default;                     6059.494;          9.000
openjdk-hotspot-vm;                 bimorphic;         default;                      984.786;          5.000
      native-image;             megamorphic_3;        pgo_g1gc;                    74130.269;         29.000
     azul-prime-vm;               monomorphic;         default;                     6028.084;          9.000
    oracle-graalvm;                  platform;         default;                      980.486;          5.000
      native-image;                   virtual;         default;                   129501.464;         38.000
      native-image;                  platform;         default;                   123138.805;         37.000
 eclipse-openj9-vm;                   virtual;         default;                     1431.328;          6.000
     azul-prime-vm;                   virtual;         default;                     6099.454;          9.000
        graalvm-ce;                  platform;         default;                      985.086;          5.000
     azul-prime-vm;                  platform;         default;                     6047.704;          9.000
        graalvm-ce;                   virtual;         default;                      995.386;          5.000
 eclipse-openj9-vm;                  platform;         default;                     1288.288;          6.000
    oracle-graalvm;                   virtual;         default;                     1065.986;          5.000
openjdk-hotspot-vm;                  platform;         default;                      993.886;          5.000
      native-image;                  platform;        pgo_g1gc;                    81664.263;         31.000
      native-image;                   virtual;        pgo_g1gc;                    98395.437;         34.000
openjdk-hotspot-vm;                   virtual;         default;                     1281.536;          5.000
