     Test Category;                 Test Type;  Run Identifier;  Energy Package (Watt⋅sec);  Energy RAM (Watt⋅sec);  Total (Watt⋅sec);  Elapsed (sec)
 eclipse-openj9-vm;               random_page;               4;                    186.190;                 77.280;           263.470;        106.485
 eclipse-openj9-vm;               random_page;               5;                    195.450;                 79.210;           274.660;        109.567
 eclipse-openj9-vm;               random_page;               1;                    186.650;                 77.430;           264.080;        106.548
 eclipse-openj9-vm;               random_page;               3;                    186.950;                 78.760;           265.710;        108.805
 eclipse-openj9-vm;               random_page;               2;                    189.660;                 78.710;           268.370;        108.573
        graalvm-ce;                    linear;               4;                     94.660;                 39.220;           133.880;         55.314
        graalvm-ce;                    linear;               1;                     93.790;                 37.960;           131.750;         53.184
        graalvm-ce;                    linear;               5;                     92.660;                 38.480;           131.140;         54.056
        graalvm-ce;                    linear;               3;                     92.000;                 37.750;           129.750;         52.856
        graalvm-ce;                    linear;               2;                     92.400;                 39.660;           132.060;         55.891
        graalvm-ce;               random_heap;               1;                    690.620;                567.850;          1258.470;        670.500
        graalvm-ce;               random_heap;               3;                    676.810;                566.750;          1243.560;        674.702
        graalvm-ce;               random_heap;               5;                    706.740;                568.890;          1275.630;        675.048
        graalvm-ce;               random_heap;               2;                    676.260;                566.780;          1243.040;        672.652
        graalvm-ce;               random_heap;               4;                    724.710;                567.960;          1292.670;        675.198
        graalvm-ce;               random_page;               5;                    127.260;                 63.350;           190.610;         83.885
        graalvm-ce;               random_page;               1;                    130.780;                 64.580;           195.360;         85.875
        graalvm-ce;               random_page;               2;                    131.600;                 65.530;           197.130;         87.552
        graalvm-ce;               random_page;               3;                    125.270;                 63.860;           189.130;         84.646
        graalvm-ce;               random_page;               4;                    131.640;                 63.440;           195.080;         84.352
        graalvm-ee;                    linear;               1;                     85.440;                 37.780;           123.220;         53.121
        graalvm-ee;                    linear;               5;                     85.280;                 37.470;           122.750;         52.529
        graalvm-ee;                    linear;               4;                     86.200;                 36.820;           123.020;         51.495
        graalvm-ee;                    linear;               2;                     84.980;                 37.270;           122.250;         52.218
        graalvm-ee;                    linear;               3;                     83.170;                 36.670;           119.840;         51.253
        graalvm-ee;               random_heap;               2;                    700.830;                562.220;          1263.050;        670.124
        graalvm-ee;               random_heap;               5;                    705.540;                569.450;          1274.990;        678.490
        graalvm-ee;               random_heap;               4;                    705.770;                575.750;          1281.520;        687.699
        graalvm-ee;               random_heap;               1;                    712.560;                578.320;          1290.880;        690.367
        graalvm-ee;               random_heap;               3;                    671.160;                559.360;          1230.520;        668.134
        graalvm-ee;               random_page;               1;                    129.580;                 64.720;           194.300;         86.361
        graalvm-ee;               random_page;               4;                    131.080;                 64.750;           195.830;         86.284
        graalvm-ee;               random_page;               2;                    126.120;                 63.170;           189.290;         83.580
        graalvm-ee;               random_page;               3;                    124.180;                 62.940;           187.120;         82.977
        graalvm-ee;               random_page;               5;                    130.430;                 64.750;           195.180;         86.445
      native-image;                    linear;               3;                     48.250;                 24.240;            72.490;         31.154
      native-image;                    linear;               1;                     46.640;                 24.200;            70.840;         31.132
      native-image;                    linear;               2;                     46.470;                 24.410;            70.880;         31.471
      native-image;                    linear;               5;                     60.650;                 26.040;            86.690;         34.453
      native-image;                    linear;               4;                     63.360;                 26.050;            89.410;         34.176
      native-image;               random_heap;               1;                    575.470;                531.250;          1106.720;        612.610
      native-image;               random_heap;               3;                    584.680;                535.300;          1119.980;        620.039
      native-image;               random_heap;               4;                    607.820;                530.810;          1138.630;        610.277
      native-image;               random_heap;               2;                    576.320;                532.140;          1108.460;        613.254
      native-image;               random_heap;               5;                    619.440;                531.210;          1150.650;        615.705
      native-image;               random_page;               3;                     83.860;                 48.980;           132.840;         62.354
      native-image;               random_page;               1;                     81.020;                 49.450;           130.470;         62.818
      native-image;               random_page;               4;                    101.120;                 49.500;           150.620;         62.752
      native-image;               random_page;               2;                     85.630;                 50.560;           136.190;         65.091
      native-image;               random_page;               5;                     95.650;                 49.290;           144.940;         62.726
openjdk-hotspot-vm;                    linear;               5;                     85.550;                 37.670;           123.220;         52.993
openjdk-hotspot-vm;                    linear;               4;                     84.050;                 36.810;           120.860;         52.089
openjdk-hotspot-vm;                    linear;               2;                     74.610;                 37.590;           112.200;         52.779
openjdk-hotspot-vm;                    linear;               3;                     77.440;                 37.470;           114.910;         52.490
openjdk-hotspot-vm;                    linear;               1;                     75.580;                 38.080;           113.660;         53.278
openjdk-hotspot-vm;               random_heap;               4;                    695.810;                577.310;          1273.120;        684.115
openjdk-hotspot-vm;               random_heap;               3;                    680.220;                582.590;          1262.810;        695.705
openjdk-hotspot-vm;               random_heap;               2;                    663.000;                576.350;          1239.350;        686.648
openjdk-hotspot-vm;               random_heap;               5;                    696.180;                576.760;          1272.940;        685.911
openjdk-hotspot-vm;               random_heap;               1;                    661.300;                577.310;          1238.610;        686.171
openjdk-hotspot-vm;               random_page;               3;                    110.270;                 63.630;           173.900;         84.212
openjdk-hotspot-vm;               random_page;               2;                    106.530;                 63.360;           169.890;         83.701
openjdk-hotspot-vm;               random_page;               5;                    122.760;                 63.540;           186.300;         84.266
openjdk-hotspot-vm;               random_page;               1;                    108.920;                 63.880;           172.800;         84.168
openjdk-hotspot-vm;               random_page;               4;                    122.620;                 62.170;           184.790;         82.830
