          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
    oracle-graalvm;                       new;         default;                  2;         2.000;  Power (Watt)
    oracle-graalvm;                       new;         default;                  3;         2.840;  Power (Watt)
    oracle-graalvm;                       new;         default;                  4;        83.600;  Power (Watt)
    oracle-graalvm;                       new;         default;                  5;        83.720;  Power (Watt)
      native-image;                     const;             pgo;                  1;         4.480;  Power (Watt)
      native-image;                     const;             pgo;                  2;         2.230;  Power (Watt)
      native-image;                     const;             pgo;                  3;         5.740;  Power (Watt)
      native-image;                     const;             pgo;                  4;        82.110;  Power (Watt)
      native-image;                     const;             pgo;                  5;       109.040;  Power (Watt)
      native-image;                     const;             pgo;                  6;        76.900;  Power (Watt)
      native-image;                     const;             pgo;                  7;        91.650;  Power (Watt)
      native-image;                     const;             pgo;                  8;        71.830;  Power (Watt)
      native-image;                     const;             pgo;                  9;        88.200;  Power (Watt)
      native-image;                     const;             pgo;                 10;       118.110;  Power (Watt)
      native-image;                     const;             pgo;                 11;       100.570;  Power (Watt)
      native-image;                     const;             pgo;                 12;       102.920;  Power (Watt)
      native-image;                     const;             pgo;                 13;       103.390;  Power (Watt)
      native-image;                     const;             pgo;                 14;       100.440;  Power (Watt)
      native-image;                     const;             pgo;                 15;       104.780;  Power (Watt)
      native-image;                     const;             pgo;                 16;       108.130;  Power (Watt)
      native-image;                     const;             pgo;                 17;       101.970;  Power (Watt)
      native-image;                     const;             pgo;                 18;        99.750;  Power (Watt)
      native-image;                     const;             pgo;                 19;        98.050;  Power (Watt)
      native-image;                     const;             pgo;                 20;       106.430;  Power (Watt)
      native-image;                     const;             pgo;                 21;       100.080;  Power (Watt)
      native-image;                     const;             pgo;                 22;       101.160;  Power (Watt)
      native-image;                     const;             pgo;                 23;       100.150;  Power (Watt)
      native-image;                     const;             pgo;                 24;       100.250;  Power (Watt)
      native-image;                     const;             pgo;                 25;        99.890;  Power (Watt)
      native-image;                     const;             pgo;                 26;       100.190;  Power (Watt)
      native-image;                     const;             pgo;                 27;        99.900;  Power (Watt)
      native-image;                     const;             pgo;                 28;        94.310;  Power (Watt)
      native-image;                     const;             pgo;                 29;        97.930;  Power (Watt)
      native-image;                     const;             pgo;                 30;        77.650;  Power (Watt)
      native-image;                     const;             pgo;                 31;        67.580;  Power (Watt)
      native-image;                     const;             pgo;                 32;         4.230;  Power (Watt)
      native-image;                     const;             pgo;                 33;         2.790;  Power (Watt)
      native-image;                     const;             pgo;                 34;         2.910;  Power (Watt)
      native-image;                     const;             pgo;                 35;        86.900;  Power (Watt)
      native-image;                     const;             pgo;                 36;        80.170;  Power (Watt)
      native-image;                     const;             pgo;                 37;        77.510;  Power (Watt)
      native-image;                     const;             pgo;                 38;        85.970;  Power (Watt)
      native-image;                     const;             pgo;                 39;        81.220;  Power (Watt)
      native-image;                     const;             pgo;                 40;        77.520;  Power (Watt)
      native-image;                     const;             pgo;                 41;       113.130;  Power (Watt)
      native-image;                     const;             pgo;                 42;       104.070;  Power (Watt)
      native-image;                     const;             pgo;                 43;       102.230;  Power (Watt)
      native-image;                     const;             pgo;                 44;       102.740;  Power (Watt)
