          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
      native-image;                  platform;             pgo;                 17;       108.150;  Power (Watt)
      native-image;                  platform;             pgo;                 18;        99.430;  Power (Watt)
      native-image;                  platform;             pgo;                 19;       101.030;  Power (Watt)
      native-image;                  platform;             pgo;                 20;       107.470;  Power (Watt)
      native-image;                  platform;             pgo;                 21;       100.950;  Power (Watt)
      native-image;                  platform;             pgo;                 22;       100.720;  Power (Watt)
      native-image;                  platform;             pgo;                 23;       100.810;  Power (Watt)
      native-image;                  platform;             pgo;                 24;       100.790;  Power (Watt)
      native-image;                  platform;             pgo;                 25;       100.940;  Power (Watt)
      native-image;                  platform;             pgo;                 26;       100.700;  Power (Watt)
      native-image;                  platform;             pgo;                 27;       101.250;  Power (Watt)
      native-image;                  platform;             pgo;                 28;        98.790;  Power (Watt)
      native-image;                  platform;             pgo;                 29;        93.240;  Power (Watt)
      native-image;                  platform;             pgo;                 30;        88.950;  Power (Watt)
      native-image;                  platform;             pgo;                 31;        65.280;  Power (Watt)
      native-image;                  platform;             pgo;                 32;         4.200;  Power (Watt)
      native-image;                  platform;             pgo;                 33;         2.530;  Power (Watt)
      native-image;                  platform;             pgo;                 34;         2.620;  Power (Watt)
      native-image;                  platform;             pgo;                 35;        75.950;  Power (Watt)
      native-image;                  platform;             pgo;                 36;        86.720;  Power (Watt)
      native-image;                  platform;             pgo;                 37;        91.470;  Power (Watt)
      native-image;                  platform;             pgo;                 38;        57.850;  Power (Watt)
      native-image;                  platform;             pgo;                 39;        88.890;  Power (Watt)
      native-image;                  platform;             pgo;                 40;        71.050;  Power (Watt)
      native-image;                  platform;             pgo;                 41;        79.230;  Power (Watt)
      native-image;                  platform;             pgo;                 42;       116.970;  Power (Watt)
      native-image;                  platform;             pgo;                 43;       102.750;  Power (Watt)
      native-image;                  platform;             pgo;                 44;       103.250;  Power (Watt)
      native-image;                  platform;             pgo;                 45;       103.100;  Power (Watt)
      native-image;                  platform;             pgo;                 46;       103.030;  Power (Watt)
      native-image;                  platform;             pgo;                 47;        96.570;  Power (Watt)
      native-image;                  platform;             pgo;                 48;       104.030;  Power (Watt)
      native-image;                  platform;             pgo;                 49;       108.920;  Power (Watt)
      native-image;                  platform;             pgo;                 50;        99.610;  Power (Watt)
      native-image;                  platform;             pgo;                 51;       100.720;  Power (Watt)
      native-image;                  platform;             pgo;                 52;       101.630;  Power (Watt)
      native-image;                  platform;             pgo;                 53;       103.550;  Power (Watt)
      native-image;                  platform;             pgo;                 54;       100.280;  Power (Watt)
      native-image;                  platform;             pgo;                 55;       101.500;  Power (Watt)
      native-image;                  platform;             pgo;                 56;       100.980;  Power (Watt)
      native-image;                  platform;             pgo;                 57;       100.330;  Power (Watt)
      native-image;                  platform;             pgo;                 58;       102.050;  Power (Watt)
      native-image;                  platform;             pgo;                 59;        99.850;  Power (Watt)
      native-image;                  platform;             pgo;                 60;       102.500;  Power (Watt)
      native-image;                  platform;             pgo;                 61;       101.800;  Power (Watt)
      native-image;                  platform;             pgo;                 62;       100.530;  Power (Watt)
      native-image;                  platform;             pgo;                 63;       101.250;  Power (Watt)
      native-image;                  platform;             pgo;                 64;       102.310;  Power (Watt)
      native-image;                  platform;             pgo;                 65;       101.950;  Power (Watt)
      native-image;                  platform;             pgo;                 66;       104.220;  Power (Watt)
      native-image;                  platform;             pgo;                 67;       104.900;  Power (Watt)
      native-image;                  platform;             pgo;                 68;       101.520;  Power (Watt)
      native-image;                  platform;             pgo;                 69;        89.860;  Power (Watt)
      native-image;                  platform;             pgo;                 70;       104.730;  Power (Watt)
      native-image;                  platform;             pgo;                 71;       105.680;  Power (Watt)
      native-image;                  platform;             pgo;                 72;       106.760;  Power (Watt)
      native-image;                  platform;             pgo;                 73;       106.070;  Power (Watt)
      native-image;                  platform;             pgo;                 74;        83.510;  Power (Watt)
      native-image;                  platform;             pgo;                 75;        83.870;  Power (Watt)
      native-image;                  platform;             pgo;                 76;        83.510;  Power (Watt)
      native-image;                  platform;             pgo;                 77;        84.740;  Power (Watt)
      native-image;                  platform;             pgo;                 78;        62.990;  Power (Watt)
      native-image;                  platform;             pgo;                 79;        71.440;  Power (Watt)
      native-image;                  platform;             pgo;                 80;        55.390;  Power (Watt)
