               JVM;                 Test Type;  Run Identifier;  Energy package (Watt second);  Energy RAM (Watt second);  Elapsed (seconds)
        graalvm-ee;                    lambda;               5;                       327.890;                   104.650;            183.477
        graalvm-ee;                    lambda;               3;                       324.400;                   103.650;            181.865
        graalvm-ee;                       new;               4;                       333.140;                   104.430;            183.148
        graalvm-ee;                       new;               2;                       329.680;                   105.620;            185.314
        graalvm-ee;                       new;               1;                       326.580;                   103.640;            181.817
        graalvm-ee;                       new;               3;                       329.030;                   103.510;            181.522
        graalvm-ee;                       new;               5;                       327.720;                   104.570;            183.232
        graalvm-ee;             override_fist;               1;                        32.660;                    10.440;             17.983
        graalvm-ee;             override_fist;               4;                        32.700;                    10.460;             18.001
        graalvm-ee;             override_fist;               5;                        31.960;                    10.320;             17.774
        graalvm-ee;             override_fist;               2;                        33.340;                    10.710;             18.456
        graalvm-ee;             override_fist;               3;                        32.390;                    10.650;             18.330
      native-image;                     const;               1;                        20.460;                     7.170;             11.746
      native-image;                     const;               5;                        18.380;                     5.940;             10.609
      native-image;                     const;               4;                        19.420;                     5.700;             10.115
      native-image;                     const;               2;                        15.070;                     5.640;             10.025
      native-image;                     const;               3;                        15.710;                     5.500;              9.783
      native-image;                    lambda;               2;                        61.470;                    24.260;             38.327
      native-image;                    lambda;               4;                        74.930;                    24.810;             38.897
      native-image;                    lambda;               5;                        71.460;                    24.540;             38.804
      native-image;                    lambda;               3;                        64.240;                    24.280;             38.364
      native-image;                    lambda;               1;                        61.500;                    24.610;             38.802
      native-image;                       new;               1;                        75.390;                    30.400;             49.117
      native-image;                       new;               4;                        91.230;                    30.110;             48.921
      native-image;                       new;               3;                        79.100;                    28.980;             47.672
      native-image;                       new;               2;                        75.360;                    29.070;             47.996
      native-image;                       new;               5;                        88.960;                    29.730;             48.182
      native-image;             override_fist;               5;                         5.940;                     1.800;              3.194
      native-image;             override_fist;               3;                         5.050;                     1.730;              3.066
      native-image;             override_fist;               4;                         6.070;                     1.840;              3.254
      native-image;             override_fist;               2;                         4.800;                     1.750;              3.102
      native-image;             override_fist;               1;                         4.670;                     1.730;              3.074
openjdk-hotspot-vm;                     const;               5;                        94.590;                    30.930;             54.621
openjdk-hotspot-vm;                     const;               1;                        84.470;                    30.920;             54.621
openjdk-hotspot-vm;                     const;               3;                        85.400;                    30.750;             54.454
openjdk-hotspot-vm;                     const;               4;                       130.480;                    39.290;             63.520
openjdk-hotspot-vm;                     const;               2;                        84.850;                    30.690;             54.309
openjdk-hotspot-vm;                    lambda;               1;                       365.990;                   131.990;            232.853
openjdk-hotspot-vm;                    lambda;               2;                       374.800;                   131.480;            231.978
openjdk-hotspot-vm;                    lambda;               5;                       408.250;                   131.720;            232.433
openjdk-hotspot-vm;                    lambda;               4;                       409.010;                   130.900;            231.750
openjdk-hotspot-vm;                    lambda;               3;                       371.700;                   131.910;            232.623
openjdk-hotspot-vm;                       new;               5;                       408.150;                   131.470;            231.769
openjdk-hotspot-vm;                       new;               4;                       406.180;                   130.930;            231.773
openjdk-hotspot-vm;                       new;               1;                       361.330;                   131.500;            231.784
openjdk-hotspot-vm;                       new;               2;                       369.590;                   130.920;            231.064
openjdk-hotspot-vm;                       new;               3;                       374.330;                   131.190;            231.344
openjdk-hotspot-vm;             override_fist;               2;                        85.500;                    30.920;             54.632
openjdk-hotspot-vm;             override_fist;               5;                        94.310;                    30.760;             54.518
openjdk-hotspot-vm;             override_fist;               3;                        85.270;                    31.010;             54.791
openjdk-hotspot-vm;             override_fist;               4;                        93.770;                    30.490;             54.332
openjdk-hotspot-vm;             override_fist;               1;                        83.360;                    30.930;             54.624
