          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
      native-image;    guarded_unparametrized;        pgo_g1gc;                 17;        88.280;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 18;       103.680;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 19;        97.820;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 20;       102.040;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 21;       105.160;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 22;       107.430;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 23;       101.310;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 24;       102.380;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 25;       101.920;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 26;       102.180;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 27;       102.650;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 28;       102.140;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 29;       102.150;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 30;       102.240;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 31;        90.120;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 32;        78.420;  Power (Watt)
      native-image;    guarded_unparametrized;        pgo_g1gc;                 33;        59.590;  Power (Watt)
     azul-prime-vm;                    lambda;         default;                  1;        17.490;  Power (Watt)
     azul-prime-vm;                    lambda;         default;                  2;        14.600;  Power (Watt)
     azul-prime-vm;                    lambda;         default;                  3;        14.480;  Power (Watt)
     azul-prime-vm;                    lambda;         default;                  4;       114.020;  Power (Watt)
     azul-prime-vm;                    lambda;         default;                  5;       110.370;  Power (Watt)
     azul-prime-vm;                    lambda;         default;                  6;       108.930;  Power (Watt)
     azul-prime-vm;                    lambda;         default;                  7;       107.850;  Power (Watt)
     azul-prime-vm;                    lambda;         default;                  8;        93.490;  Power (Watt)
    oracle-graalvm;                    lambda;         default;                  1;        18.080;  Power (Watt)
    oracle-graalvm;                    lambda;         default;                  2;        16.120;  Power (Watt)
    oracle-graalvm;                    lambda;         default;                  3;        14.850;  Power (Watt)
    oracle-graalvm;                    lambda;         default;                  4;        83.890;  Power (Watt)
    oracle-graalvm;                    lambda;         default;                  5;        92.540;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                  1;         7.260;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                  2;         4.960;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                  3;         7.780;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                  4;        64.630;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                  5;        71.670;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                  6;        75.630;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                  7;        71.100;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                  8;        88.070;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                  9;        67.480;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 10;        89.310;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 11;       120.240;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 12;       102.000;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 13;       102.030;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 14;       102.270;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 15;        99.430;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 16;        82.340;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 17;        98.850;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 18;       105.620;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 19;       105.470;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 20;        95.150;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 21;       111.310;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 22;       104.050;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 23;       104.200;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 24;       101.300;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 25;       101.730;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 26;       101.610;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 27;       101.980;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 28;       101.300;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 29;       101.820;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 30;       101.350;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 31;        97.690;  Power (Watt)
      native-image;  unguarded_unparametrized;        pgo_g1gc;                 32;        87.130;  Power (Watt)
    oracle-graalvm;    unguarded_parametrized;         default;                  1;        14.430;  Power (Watt)
    oracle-graalvm;    unguarded_parametrized;         default;                  2;        13.080;  Power (Watt)
    oracle-graalvm;    unguarded_parametrized;         default;                  3;        16.960;  Power (Watt)
    oracle-graalvm;    unguarded_parametrized;         default;                  4;        86.000;  Power (Watt)
    oracle-graalvm;    unguarded_parametrized;         default;                  5;       113.160;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                  1;         6.900;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                  2;         4.720;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                  3;         7.310;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                  4;        62.950;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                  5;        72.850;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                  6;        76.120;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                  7;        92.710;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                  8;        82.790;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                  9;        74.840;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 10;        99.020;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 11;       121.880;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 12;       103.870;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 13;       101.820;  Power (Watt)
      native-image;      guarded_parametrized;        pgo_g1gc;                 14;       101.220;  Power (Watt)
