Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU iwlwif INT340   SEN3 TCPU_P x86_pk acpitz   SEN2
17:18:38  13.2   0.0   3.9  82.9   0.0    2 184125  18696    4    3   45  45.15    0.00  10.55   3.52  31.08  49.05  20.00  35.05  49.00  49.00  50.00  36.05   0.00
17:18:39  16.2   0.0   3.7  79.9   0.1    4 196505  19656    3    3    3  48.57    0.00  11.36   4.24  32.97  52.05  20.00  35.05  52.00  52.00  50.00  36.05   0.00
17:18:40  13.9   0.0   3.6  82.5   0.0    4 184354  18254    3    3    3  45.38    0.00  10.67   3.66  31.06  49.05  20.00  35.05  49.00  49.00  50.00  36.05   0.00
17:18:41  15.2   0.0   3.6  81.2   0.0    5 192977  17652    2    1    1  45.25    0.00  10.71   3.75  30.79  49.05  20.00  35.05  49.00  49.00  50.00  36.05   0.00
17:18:42  15.0   0.0   4.1  80.9   0.0    4 191689  18446    2    2    3  45.52    0.00  10.65   3.66  31.21  49.05  20.00  35.05  50.00  50.00  50.00  36.05   0.00
17:18:43  13.4   0.0   3.6  83.0   0.0    4 183975  18798    3    3    3  45.65    0.00  10.59   3.57  31.49  50.05  20.00  35.05  50.00  50.00  50.00  36.05   0.00
17:18:44  13.9   0.0   4.1  82.0   0.0    7 189046  18475    3    3    4  47.38    0.00  10.79   3.79  32.80  50.05  20.00  35.05  50.00  50.00  51.00  36.05   0.00
17:18:45  14.1   0.0   3.2  82.6   0.0    2 175482  18485    3    3    3  45.15    0.00  10.32   3.30  31.53  52.05  20.00  35.05  52.00  52.00  51.00  36.05   0.00
17:18:46  13.5   0.0   3.8  82.7   0.0    6 182978  18547    3    3    3  45.71    0.00  10.66   3.68  31.37  50.05  20.00  35.05  49.00  49.00  51.00  36.05   0.00
17:18:47  13.4   0.0   4.0  82.7   0.0    4 191591  18946    3    3    7  47.00    0.00  10.96   3.89  32.15  49.05  20.00  35.05  49.00  49.00  51.00  36.05   0.00
17:18:48  14.1   0.0   3.8  82.0   0.0    3 199140  17942    3    3    3  47.47    0.00  11.15   4.18  32.14  50.05  20.00  35.05  50.00  50.00  51.00  36.05   0.00
17:18:49  13.5   0.0   3.5  83.0   0.0   19 197956  18293    3    3    3  46.90    0.00  11.03   4.04  31.83  50.05  20.00  35.05  50.00  50.00  51.00  36.05   0.00
17:18:50  12.7   0.0   3.3  84.0   0.0    4 158168  17664    2    2    2  45.07    0.00  10.38   3.55  31.13  50.05  20.00  35.05  50.00  50.00  50.00  36.05   0.00
17:18:51  13.4   0.0   3.2  83.3   0.0   11 191585  18830    1    1    1  46.73    0.00  10.82   3.84  32.07  50.05  20.00  35.05  50.00  50.00  50.00  36.05   0.00
17:18:52  14.1   0.0   3.8  82.1   0.0   13 193318  18348    3    3    3  46.82    0.00  10.97   4.05  31.79  50.05  20.00  35.05  50.00  50.00  50.00  36.05   0.00
17:18:53  10.8   0.0   3.5  85.7   0.0    4 181626  18053    3    3    6  44.33    0.00  10.20   3.31  30.82  50.05  20.00  35.05  50.00  50.00  51.00  36.05   0.00
17:18:54  13.3   0.0   3.8  82.9   0.0    4 189765  18470    3    3    3  47.26    0.00  11.10   4.12  32.04  52.05  20.00  35.05  52.00  52.00  51.00  36.05   0.00
17:18:55  12.9   0.0   3.8  83.3   0.0    3 188897  18546    3    3    3  47.27    0.00  11.00   3.98  32.29  50.05  20.00  36.05  50.00  50.00  51.00  36.05   0.00
17:18:56  13.7   0.0   4.1  82.2   0.0    4 202643  18588    3    3    3  47.13    0.00  11.09   4.05  31.99  50.05  20.00  36.05  50.00  50.00  51.00  36.05   0.00
17:18:57  13.8   0.0   3.8  82.3   0.0    1 189478  18832    3    3    3  47.36    0.00  10.98   3.96  32.41  49.05  20.00  36.05  50.00  50.00  51.00  36.05   0.00
17:18:58  13.6   0.0   3.8  82.6   0.0    2 186291  17809    3    3    3  45.69    0.00  10.60   3.60  31.50  49.05  20.00  36.05  52.00  52.00  51.00  36.05   0.00
17:18:59  15.3   0.0   3.9  80.9   0.0    5 177136  18153    7    3    3  47.33    0.00  11.14   4.15  32.03  50.05  20.00  36.05  50.00  50.00  51.00  36.05   0.00
17:19:00  13.5   0.0   3.7  82.8   0.0    5 183600  18324    3    3    6  46.44    0.00  10.70   3.71  32.04  50.05  20.00  36.05  50.00  50.00  51.00  36.05   0.00
17:19:01  12.1   0.0   2.8  85.1   0.0    6 157394  16889    2    1    6  44.25    0.00  10.15   3.31  30.79  52.05  20.00  36.05  52.00  52.00  51.00  36.05   0.00
17:19:02  13.9   0.0   3.8  82.2   0.0    4 175696  19590   13    3   10  46.61    0.00  10.74   3.78  32.09  49.05  20.00  36.05  49.00  49.00  51.00  37.05   0.00
17:19:03  13.7   0.0   3.8  82.5   0.0    7 177449  18272    3    3    3  46.68    0.00  10.91   3.98  31.79  50.05  20.00  36.05  50.00  50.00  51.00  37.05   0.00
17:19:04  11.8   0.0   3.3  84.8   0.0    9 173324  18260    6    3    6  45.53    0.00  10.43   3.43  31.66  50.05  20.00  36.05  50.00  50.00  51.00  37.05   0.00
17:19:05  11.0   0.0   3.6  85.3   0.0    4 168838  17935    3    3    4  43.75    0.00  10.15   3.26  30.34  49.05  20.00  36.05  49.00  49.00  51.00  37.05   0.00
17:19:06  12.8   0.0   3.1  84.0   0.1    3 158770  18311    3    3    3  44.90    0.00  10.26   3.32  31.32  52.05  20.00  36.05  52.00  52.00  51.00  37.05   0.00
17:19:07  13.4   0.0   3.6  83.0   0.0    8 195761  18230    3    3    3  46.77    0.00  10.96   3.89  31.92  50.05  20.00  36.05  50.00  50.00  50.00  37.05   0.00
17:19:08  13.4   0.0   3.9  82.7   0.0    2 191879  18573    3    3    3  46.15    0.00  10.77   3.71  31.66  49.05  20.00  36.05  49.00  49.00  50.00  37.05   0.00
17:19:09  12.8   0.0   3.5  83.7   0.0    5 154559  17615    3    3    3  44.11    0.00  10.25   3.36  30.51  50.05  20.00  36.05  50.00  50.00  51.00  37.05   0.00
17:19:10  13.3   0.0   4.0  82.7   0.0    2 181437  18858    3    3    3  46.48    0.00  10.76   3.68  32.03  49.05  20.00  36.05  49.00  49.00  51.00  37.05   0.00
17:19:11  13.7   0.0   3.3  83.1   0.0    2 168641  17975    2    2    2  44.82    0.00  10.31   3.34  31.17  50.05  20.00  36.05  50.00  50.00  51.00  37.05   0.00
17:19:12  13.3   0.0   3.4  83.2   0.0    3 179735  19051    1    1    1  46.24    0.00  10.71   3.63  31.90  50.05  20.00  36.05  50.00  50.00  51.00  37.05   0.00
17:19:13  12.6   0.0   3.2  84.2   0.0    9 177015  18251    3    3    3  45.45    0.00  10.55   3.55  31.35  49.05  20.00  36.05  49.00  49.00  51.00  37.05   0.00
